       FUNCTION                                                     SCORE    LoC   ULoC    CC    DE   DFC   LOCATION
 60    stream_parse_uri_tcp                                          0.11    147     -     54     7     4   src/libstrongswan/networking/streams/stream_tcp.c:27
 61    settings_remove_value                                         0.11    234     -     69     4     4   src/libstrongswan/settings/settings.c:476
 62    host_resolver_create                                          0.11     77     -     18    18     0   src/libstrongswan/networking/host_resolver.c:356
 63    parser_helper_create                                          0.11     89     -     33    13     2   src/libstrongswan/utils/parser_helper.c:241
 64    x509_crl_load                                                 0.11    170     -     52    11     0   src/libstrongswan/plugins/x509/x509_crl.c:646
 65    settings_reference_add                                        0.11    109     -     45    10     2   src/libstrongswan/settings/settings_types.c:142
 66    watcher_create                                                0.11     85     -     20    17     0   src/libstrongswan/processing/watcher.c:698
 67    asn1_debug_simple_object                                      0.11    169     -     64     1     7   src/libstrongswan/asn1/asn1.c:517
 68    x509_crl_gen                                                  0.11    175     -     38    13     0   src/libstrongswan/plugins/x509/x509_crl.c:821
 69    sa_payload_create_from_proposals_v2                           0.11    174     -     38    12     1   src/libcharon/encoding/payloads/sa_payload.c:539
 70    proposal_printf_hook                                          0.11    121     -     42    11     1   src/libstrongswan/crypto/proposal/proposal.c:922
 71    sa_payload_create_from_proposal_v2                            0.11    168     -     37    12     1   src/libcharon/encoding/payloads/sa_payload.c:559
 72    x509_ocsp_request_load                                        0.11    144     -     46    11     0   src/libstrongswan/plugins/x509/x509_ocsp_request.c:862
 73    process_start_shell                                           0.10    126     -     34    13     0   src/libstrongswan/utils/process.c:231
 74    x509_ac_gen                                                   0.10    210     -     48     9     1   src/libstrongswan/plugins/x509/x509_ac.c:1157
 75    process_start                                                 0.10    108     -     32    13     0   src/libstrongswan/utils/process.c:128
 76    metadata_set_clone                                            0.10    101     -     36    10     2   src/libstrongswan/metadata/metadata_set.c:138
 77    openssl_private_key_connect                                   0.10    157     -     35     9     3   src/libstrongswan/plugins/openssl/openssl_engine.c:82
 78    stream_create_vsock                                           0.10     95     -     30    13     0   src/libstrongswan/networking/streams/stream_vsock.c:129
 79    settings_kv_add                                               0.10    137     -     49     7     2   src/libstrongswan/settings/settings_types.c:121
 80    x509_pkcs10_load                                              0.10    181     -     48     9     0   src/libstrongswan/plugins/x509/x509_pkcs10.c:718
 81    chunk_printf_hook                                             0.09     65     -     15    15     0   src/libstrongswan/utils/chunk.c:1149
 82    pkcs7_signed_data_gen                                         0.09    160     -     33    11     0   src/libstrongswan/plugins/pkcs7/pkcs7_signed_data.c:648
 83    host_create_from_subnet                                       0.09    127     -     42     6     3   src/libstrongswan/networking/host.c:572
 84    key_exchange_concat_secrets                                   0.09    119     -     37     9     1   src/libstrongswan/crypto/key_exchange.c:720
 85    sec_label_from_string                                         0.09    122     -     40     8     1   src/libstrongswan/selectors/sec_label.c:190
 86    chunk_to_base32                                               0.09     52     -     10    14     1   src/libstrongswan/utils/chunk.c:691
 87    pkcs7_enveloped_data_load                                     0.09    196     -     50     7     0   src/libstrongswan/plugins/pkcs7/pkcs7_enveloped_data.c:394
 88    thread_cleanup_push                                           0.09     49     -      9    15     0   src/libstrongswan/threading/thread.c:395
 89    attr_provider_create                                          0.09    120     -     34    10     0   src/libcharon/plugins/attr/attr_provider.c:346
 90    sec_label_from_encoding                                       0.09    117     -     38     8     1   src/libstrongswan/selectors/sec_label.c:144
 91    scheduler_create                                              0.09     53     -      8    15     0   src/libstrongswan/processing/scheduler.c:310
 92    iv_gen_create_for_alg                                         0.09     63     -     38     9     0   src/libstrongswan/crypto/iv/iv_gen.c:26
 93    eap_vendor_type_from_string                                   0.09     70     -     23    12     0   src/libstrongswan/eap/eap.c:140
 94    processor_create                                              0.09     49     -      8    15     0   src/libstrongswan/processing/processor.c:538
 95    library_deinit                                                0.09    120     -     23    12     0   src/libstrongswan/library.c:148
 96    threads_init                                                  0.09     50     -      8    15     0   src/libstrongswan/threading/thread.c:493
 97    openssl_rsa_private_key_load                                  0.09    211     -     67     3     0   src/libstrongswan/plugins/openssl/openssl_rsa_private_key.c:709
 98    openssl_crl_load                                              0.09    157     -     47     7     0   src/libstrongswan/plugins/openssl/openssl_crl.c:614
 99    blocking_queue_create                                         0.09     44     -      7    15     0   src/libstrongswan/collections/blocking_queue.c:120
 100   asn1_parse_time                                               0.08     96     -     41     3     5   src/libstrongswan/asn1/asn1.c:944
 101   kernel_netlink_xfrmi_create                                   0.08     73     -     21    11     1   src/libcharon/plugins/kernel_netlink/kernel_netlink_xfrmi.c:409
 102   scep_http_request                                             0.08    104     -     15     9     4   src/pki/scep/scep.c:307
 103   proposal_substructure_create_from_proposal_v2                 0.08    131     -     30     9     1   src/libcharon/encoding/payloads/proposal_substructure.c:1529
 104   index_responder_create                                        0.08    116     -     30    10     0   src/pki/ocsp/index_responder.c:108
 105   openssl_crypter_create                                        0.08    168     -     44     7     0   src/libstrongswan/plugins/openssl/openssl_crypter.c:206
 106   allocate_unique_marks                                         0.08     30     -     18    12     0   src/libstrongswan/ipsec/ipsec_types.c:172
 107   plugin_feature_equals                                         0.08    110     -     78     0     0   src/libstrongswan/plugins/plugin_feature.c:227
 108   x509_ocsp_request_gen                                         0.08    190     -     43     7     0   src/libstrongswan/plugins/x509/x509_ocsp_request.c:733
 109   allocate_unique_if_ids                                        0.08     30     -     18    12     0   src/libstrongswan/ipsec/ipsec_types.c:256
 110   x509_ocsp_response_gen                                        0.08    187     -     37     8     0   src/libstrongswan/plugins/x509/x509_ocsp_response.c:1082
 111   proposal_substructure_create_for_ipcomp_v1                    0.08    128     -     27     9     1   src/libcharon/encoding/payloads/proposal_substructure.c:1620
 112   stream_initialize_socket_vsock                                0.08     87     -     27    10     0   src/libstrongswan/networking/streams/stream_vsock.c:76
 113   sshkey_public_key_load                                        0.08    177     -     54     2     2   src/libstrongswan/plugins/sshkey/sshkey_builder.c:229
 114   array_insert_create                                           0.08     75     -     28     7     2   src/libstrongswan/collections/array.c:283
 115   array_insert_create_value                                     0.08     75     -     28     7     2   src/libstrongswan/collections/array.c:292
 116   cred_encoding_create                                          0.08     57     -     13    12     0   src/libstrongswan/credentials/cred_encoding.c:252
 117   threads_deinit                                                0.08     62     -     12    12     0   src/libstrongswan/threading/thread.c:519
 118   tls_crypto_get_supported_suites                               0.07     98     -     36     6     1   src/libtls/tls_crypto.c:2523
 119   thread_cleanup_pop                                            0.07     56     -     11    12     0   src/libstrongswan/threading/thread.c:411
 120   thread_cleanup_popall                                         0.07     54     -     11    12     0   src/libstrongswan/threading/thread.c:433
 121   est_tls_create                                                0.07     80     -     26     8     1   src/pki/est/est_tls.c:420
 122   sshkey_certificate_load                                       0.07    171     -     51     2     2   src/libstrongswan/plugins/sshkey/sshkey_builder.c:272
 123   pki_cert_extract_cacerts                                      0.07    250     -     56     3     0   src/pki/pki_cert.c:257
 124   get_form                                                      0.07     64     -     20    10     0   src/pki/pki.c:33
 125   hasher_algorithm_from_integrity                               0.07     63     -     35     7     0   src/libstrongswan/crypto/hashers/hasher.c:198
 126   thread_create                                                 0.07     51     -     10    12     0   src/libstrongswan/threading/thread.c:345
 127   thread_current_id                                             0.07     47     -     10    12     0   src/libstrongswan/threading/thread.c:385
 128   settings_create                                               0.07     38     -      9    12     0   src/libstrongswan/settings/settings.c:1145
 129   extract_parameter_value                                       0.07     44     -     19    10     0   src/libstrongswan/utils/lexparser.c:162
 130   mem_printf_hook                                               0.07     44     -      9    12     0   src/libstrongswan/utils/utils/memory.c:212
 131   settings_create_string                                        0.07     38     -      9    12     0   src/libstrongswan/settings/settings.c:1157
 132   pkcs7_enveloped_data_gen                                      0.07    165     -     39     4     2   src/libstrongswan/plugins/pkcs7/pkcs7_enveloped_data.c:570
 133   thread_current                                                0.07     44     -      8    12     0   src/libstrongswan/threading/thread.c:368
 134   extract_value                                                 0.07     39     -     17    10     0   src/libstrongswan/utils/lexparser.c:130
 135   vici_parse_cb                                                 0.07    116     -     42     5     0   src/libcharon/plugins/vici/libvici.c:555
 136   stream_service_create_from_fd                                 0.07     40     -      6    12     0   src/libstrongswan/networking/streams/stream_service.c:291
 137   semaphore_create                                              0.07     43     -      6    12     0   src/libstrongswan/threading/semaphore.c:159
 138   rwlock_condvar_create                                         0.07     39     -      6    12     0   src/libstrongswan/threading/rwlock.c:483
 139   drbg_hmac_create                                              0.07    104     -     36     4     2   src/libstrongswan/plugins/drbg/drbg_hmac.c:230
 140   x509_pkcs10_gen                                               0.07    127     -     30     7     0   src/libstrongswan/plugins/x509/x509_pkcs10.c:755
 141   credential_factory_create                                     0.07     27     -      5    12     0   src/libstrongswan/credentials/credential_factory.c:215
 142   enum_printf_hook                                              0.07     84     -     25     2     6   src/libstrongswan/utils/enum.c:235
 143   crypto_factory_create                                         0.07     27     -      5    12     0   src/libstrongswan/crypto/crypto_factory.c:1452
 144   database_factory_create                                       0.07     28     -      5    12     0   src/libstrongswan/database/database_factory.c:94
 145   host_create_from_dns                                          0.07    113     -     39     3     2   src/libstrongswan/networking/host.c:459
 146   authenticator_create_v1                                       0.07     54     -     19     9     0   src/libcharon/sa/authenticator.c:123
 147   drbg_ctr_create                                               0.07    122     -     34     4     2   src/libstrongswan/plugins/drbg/drbg_ctr.c:254
