       FUNCTION                                                     SCORE    LoC   ULoC    CC    DE   DFC   LOCATION
 265   pubkey_cert_wrap                                              0.03     62     -     17     3     0   src/libstrongswan/plugins/pubkey/pubkey_cert.c:257
 266   enum_flags_to_string                                          0.03     42     -     12     0     4   src/libstrongswan/utils/enum.c:131
 267   host_create_netmask                                           0.03     45     -     12     3     1   src/libstrongswan/networking/host.c:607
 268   vici_begin                                                    0.03     10     -      2     6     0   src/libcharon/plugins/vici/libvici.c:310
 269   rng_allocate_bytes_not_zero                                   0.03     35     -     16     3     0   src/libstrongswan/crypto/rngs/rng.c:54
 270   fetchline                                                     0.03     27     -     11     4     0   src/libstrongswan/utils/lexparser.c:111
 271   openssl_diffie_hellman_create                                 0.03     58     -     16     3     0   src/libstrongswan/plugins/openssl/openssl_diffie_hellman.c:294
 272   openssl_pkcs7_load                                            0.03     60     -     16     3     0   src/libstrongswan/plugins/openssl/openssl_pkcs7.c:792
 273   pkcs1_public_key_load                                         0.03    102     -     25     1     0   src/libstrongswan/plugins/pkcs1/pkcs1_builder.c:307
 274   traffic_selector_create_dynamic                               0.03     22     -     10     3     1   src/libstrongswan/selectors/traffic_selector.c:869
 275   chunk_create_cat                                              0.03     48     -     15     2     1   src/libstrongswan/utils/chunk.c:89
 276   child_delete_destroy_rekeyed                                  0.03     67     -     15     3     0   src/libcharon/sa/ikev2/tasks/child_delete.c:238
 277   sec_label_mode_from_string                                    0.03     20     -     14     3     0   src/libstrongswan/selectors/sec_label.c:202
 278   ike_sa_manager_create                                         0.03     68     -     14     3     0   src/libcharon/sa/ike_sa_manager.c:2550
 279   tty_escape_get                                                0.03     41     -     29     0     0   src/libstrongswan/utils/utils/tty.c:50
 280   openssl_rsa_private_key_gen                                   0.03     48     -     14     3     0   src/libstrongswan/plugins/openssl/openssl_rsa_private_key.c:468
 281   asn1_bitstring                                                0.03     45     -      9     3     1   src/libstrongswan/asn1/asn1.c:823
 282   xcbc_signer_create                                            0.03     38     -      9     3     1   src/libstrongswan/plugins/xcbc/xcbc.c:361
 283   acquire_job_create                                            0.03     14     -      4     5     0   src/libcharon/processing/jobs/acquire_job.c:69
 284   xcbc_prf_create                                               0.03     35     -      9     3     1   src/libstrongswan/plugins/xcbc/xcbc.c:336
 285   openssl_ed_public_key_load                                    0.03     50     -     14     3     0   src/libstrongswan/plugins/openssl/openssl_ed_public_key.c:258
 286   receiver_create                                               0.03     57     -      9     3     1   src/libcharon/network/receiver.c:668
 287   cmac_signer_create                                            0.03     34     -      8     3     1   src/libstrongswan/plugins/cmac/cmac.c:379
 288   openssl_ec_diffie_hellman_create                              0.03     39     -     13     3     0   src/libstrongswan/plugins/openssl/openssl_ec_diffie_hellman.c:446
 289   cmac_prf_create                                               0.03     32     -      8     3     1   src/libstrongswan/plugins/cmac/cmac.c:357
 290   transform_attribute_create_value                              0.03     31     -      8     3     1   src/libcharon/encoding/payloads/transform_attribute.c:252
 291   get_signature_scheme                                          0.03     49     -     13     3     0   src/pki/pki.c:285
 292   parser_helper_log                                             0.03     52     -     18     0     2   src/libstrongswan/utils/parser_helper.c:214
 293   asn1_from_time                                                0.03     62     -     12     1     2   src/libstrongswan/asn1/asn1.c:483
 294   time_delta_printf_hook                                        0.03     29     -      7     4     0   src/libstrongswan/utils/utils/time.c:175
 295   tls_aead_create_aead                                          0.03     28     -     12     3     0   src/libtls/tls_aead.c:170
 296   host_create_from_sockaddr                                     0.03     28     -      7     3     1   src/libstrongswan/networking/host.c:427
 297   host_create_any                                               0.03     28     -      7     3     1   src/libstrongswan/networking/host.c:658
 298   chunk_to_dec                                                  0.03     54     -     17     1     1   src/libstrongswan/utils/chunk.c:751
 299   hasher_algorithm_to_integrity                                 0.03     58     -     27     0     0   src/libstrongswan/crypto/hashers/hasher.c:271
 300   chunk_printable                                               0.03     25     -     11     2     1   src/libstrongswan/utils/chunk.c:869
 301   chunk_from_base64                                             0.03     44     -     16     2     0   src/libstrongswan/utils/chunk.c:655
 302   openssl_ed_private_key_load                                   0.03     39     -     11     3     0   src/libstrongswan/plugins/openssl/openssl_ed_private_key.c:308
 303   tls_hkdf_create                                               0.03     31     -     11     3     0   src/libtls/tls_hkdf.c:684
 304   chunk_write                                                   0.03     25     -      5     4     0   src/libstrongswan/utils/chunk.c:213
 305   openssl_ec_private_key_gen                                    0.03     43     -     10     3     0   src/libstrongswan/plugins/openssl/openssl_ec_private_key.c:335
 306   scep_generate_transaction_id                                  0.03     27     -     10     2     1   src/pki/scep/scep.c:121
 307   route_entry_equals                                            0.03     16     -     20     0     1   src/libcharon/plugins/kernel_netlink/kernel_netlink_shared.c:1027
 308   vici_message_create_from_enumerator                           0.03     35     -     10     3     0   src/libcharon/plugins/vici/vici_message.c:698
 309   openssl_compute_shared_key                                    0.03     44     -     15     2     0   src/libstrongswan/plugins/openssl/openssl_util.c:48
 310   tls_crypto_create                                             0.03     39     -     10     3     0   src/libtls/tls_crypto.c:2440
 311   hasher_algorithm_from_oid                                     0.03     41     -     25     0     0   src/libstrongswan/crypto/hashers/hasher.c:120
 312   hasher_from_signature_scheme                                  0.03     44     -     25     0     0   src/libstrongswan/crypto/hashers/hasher.c:488
 313   netlink_log_error                                             0.03     38     -     15     2     0   src/libcharon/plugins/kernel_netlink/kernel_netlink_shared.c:917
 314   ike_cfg_create                                                0.03     49     -     10     3     0   src/libcharon/config/ike_cfg.c:600
 315   signature_scheme_from_oid                                     0.03     45     -     25     0     0   src/libstrongswan/credentials/keys/public_key.c:115
 316   path_dirname                                                  0.03     31     -     14     2     0   src/libstrongswan/utils/utils/path.c:77
 317   stream_parse_uri_unix                                         0.03     16     -      9     1     2   src/libstrongswan/networking/streams/stream_unix.c:27
 318   openssl_kdf_create                                            0.03     24     -      9     3     0   src/libstrongswan/plugins/openssl/openssl_kdf.c:169
 319   tls_eap_create                                                0.03     30     -      9     3     0   src/libtls/tls_eap.c:453
 320   signature_scheme_to_oid                                       0.03     45     -     24     0     0   src/libstrongswan/credentials/keys/public_key.c:167
 321   eap_payload_create_code                                       0.03     18     -      4     3     1   src/libcharon/encoding/payloads/eap_payload.c:382
 322   openssl_ec_private_key_load                                   0.03     35     -      9     3     0   src/libstrongswan/plugins/openssl/openssl_ec_private_key.c:418
 323   key_type_from_signature_scheme                                0.03     32     -     24     0     0   src/libstrongswan/credentials/keys/public_key.c:306
 324   openssl_ec_public_key_load                                    0.03     31     -      9     3     0   src/libstrongswan/plugins/openssl/openssl_ec_public_key.c:325
 325   vici_message_create_from_args                                 0.03     38     -      9     3     0   src/libcharon/plugins/vici/vici_message.c:738
 326   chunk_equals_ptr                                              0.02      7     -      8     2     1   src/libstrongswan/utils/chunk.h:366
 327   random_rng_create                                             0.02     25     -      8     3     0   src/libstrongswan/plugins/random/random_rng.c:84
 328   hashtable_create                                              0.02     30     -      8     3     0   src/libstrongswan/collections/hashtable.c:561
 329   peer_cfg_create                                               0.02     13     -      8     3     0   src/libcharon/config/peer_cfg.c:821
 330   metadata_create_int                                           0.02     19     -      8     3     0   src/libstrongswan/metadata/metadata_int.c:132
 331   psk_authenticator_create_verifier                             0.02      9     -      3     3     1   src/libcharon/sa/ikev2/authenticators/psk_authenticator.c:251
 332   chunk_equals_ptr                                              0.02      7     -      8     2     1   src/libstrongswan/utils/chunk.h:366
 333   eap_authenticator_create_builder                              0.02      9     -      3     3     1   src/libcharon/sa/ikev2/authenticators/eap_authenticator.c:797
 334   time_printf_hook                                              0.02     31     -      8     3     0   src/libstrongswan/utils/utils/time.c:140
 335   printf_hook_create                                            0.02      7     -      3     3     1   src/libstrongswan/utils/printf_hook/printf_hook_glibc.c:231
 336   chunk_equals_ptr                                              0.02      7     -      8     2     1   src/libstrongswan/utils/chunk.h:366
 337   pubkey_authenticator_create_verifier                          0.02      9     -      3     3     1   src/libcharon/sa/ikev2/authenticators/pubkey_authenticator.c:750
 338   openssl_hmac_prf_create                                       0.02     35     -      8     3     0   src/libstrongswan/plugins/openssl/openssl_hmac.c:262
 339   eap_authenticator_create_verifier                             0.02      9     -      3     3     1   src/libcharon/sa/ikev2/authenticators/eap_authenticator.c:829
 340   psk_authenticator_create_builder                              0.02      9     -      3     3     1   src/libcharon/sa/ikev2/authenticators/psk_authenticator.c:222
 341   pubkey_authenticator_create_builder                           0.02      9     -      3     3     1   src/libcharon/sa/ikev2/authenticators/pubkey_authenticator.c:721
 342   openssl_ed_private_key_gen                                    0.02     32     -      8     3     0   src/libstrongswan/plugins/openssl/openssl_ed_private_key.c:268
 343   chunk_equals_ptr                                              0.02      7     -      8     2     1   src/libstrongswan/utils/chunk.h:366
 344   openssl_hmac_signer_create                                    0.02     36     -      8     3     0   src/libstrongswan/plugins/openssl/openssl_hmac.c:277
 345   hasher_signature_algorithm_to_oid                             0.02     59     -     22     0     0   src/libstrongswan/crypto/hashers/hasher.c:418
 346   openssl_hasher_create                                         0.02     28     -      7     3     0   src/libstrongswan/plugins/openssl/openssl_hasher.c:115
 347   settings_value_as_int                                         0.02     15     -      7     3     0   src/libstrongswan/settings/settings.c:602
 348   settings_value_as_uint64                                      0.02     15     -      7     3     0   src/libstrongswan/settings/settings.c:639
 349   rsa_pss_params_set_salt_len                                   0.02     55     -     22     0     0   src/libstrongswan/credentials/keys/signature_params.c:25
 350   tls_aead_create_seq                                           0.02     26     -      7     3     0   src/libtls/tls_aead_seq.c:217
 351   task_manager_v1_create                                        0.02     33     -      6     3     0   src/libcharon/sa/ikev1/task_manager_v1.c:2054
 352   bio_writer_create                                             0.02     11     -      6     3     0   src/libstrongswan/bio/bio_writer.c:223
 353   xof_bitspender_create                                         0.02     26     -      6     3     0   src/libstrongswan/crypto/xofs/xof_bitspender.c:170
 354   asn1_integer_from_uint64                                      0.02     24     -     11     1     1   src/libstrongswan/asn1/asn1.c:625
 355   route_entry_clone                                             0.02      6     -      6     3     0   src/libcharon/plugins/kernel_netlink/kernel_netlink_shared.c:992
 356   pkcs7_data_gen                                                0.02     29     -      6     3     0   src/libstrongswan/plugins/pkcs7/pkcs7_data.c:133
 357   asn1_oid_to_string                                            0.02     38     -     11     0     2   src/libstrongswan/asn1/asn1.c:201
 358   cert_payload_create_from_cert                                 0.02     30     -      6     3     0   src/libcharon/encoding/payloads/cert_payload.c:331
 359   openssl_x_diffie_hellman_create                               0.02     25     -      6     3     0   src/libstrongswan/plugins/openssl/openssl_x_diffie_hellman.c:162
 360   process_message_job_create                                    0.02     18     -      6     3     0   src/libcharon/processing/jobs/process_message_job.c:122
 361   kernel_interface_create                                       0.02     26     -      6     3     0   src/libcharon/kernel/kernel_interface.c:1048
 362   dnskey_public_key_load                                        0.02     73     -     20     0     0   src/libstrongswan/plugins/dnskey/dnskey_builder.c:122
 363   vici_cred_create                                              0.02     26     -      5     3     0   src/libcharon/plugins/vici/vici_cred.c:601
 364   transform_get_enum_names                                      0.02     34     -     20     0     0   src/libstrongswan/crypto/transform.c:54
 365   kdf_kdf_create                                                0.02     19     -      5     3     0   src/libstrongswan/plugins/kdf/kdf_kdf.c:176
 366   tls_crypto_get_supported_signatures                           0.02     23     -     10     2     0   src/libtls/tls_crypto.c:2592
 367   tls_aead_create_implicit                                      0.02     13     -      5     3     0   src/libtls/tls_aead_impl.c:195
 368   translate                                                     0.02     13     -      5     3     0   src/libstrongswan/utils/utils/string.c:23
 369   hashlist_create                                               0.02     17     -      5     3     0   src/libstrongswan/collections/hashlist.c:528
 370   hashlist_create_sorted                                        0.02     17     -      5     3     0   src/libstrongswan/collections/hashlist.c:541
 371   pgp_read_scalar                                               0.02     19     -      5     3     0   src/libstrongswan/plugins/pgp/pgp_utils.c:77
 372   eat_whitespace                                                0.02      5     -      5     3     0   src/libstrongswan/utils/lexparser.c:22
 373   settings_value_as_double                                      0.02     11     -      5     3     0   src/libstrongswan/settings/settings.c:664
 374   child_cfg_create                                              0.02      6     -      5     3     0   src/libcharon/config/child_cfg.c:749
 375   vici_control_create                                           0.02     17     -      4     3     0   src/libcharon/plugins/vici/vici_control.c:727
 376   task_manager_v2_create                                        0.02     21     -      4     3     0   src/libcharon/sa/ikev2/task_manager_v2.c:2583
 377   array_create                                                  0.02     13     -      4     3     0   src/libstrongswan/collections/array.c:160
 378   vici_config_create                                            0.02     13     -      4     3     0   src/libcharon/plugins/vici/vici_config.c:3057
 379   pkcs7_data_load                                               0.02     10     -      4     3     0   src/libstrongswan/plugins/pkcs7/pkcs7_data.c:120
 380   child_create_create                                           0.02     14     -      4     3     0   src/libcharon/sa/ikev2/tasks/child_create.c:2672
 381   backtrace_dump                                                0.02     41     -      9     0     2   src/libstrongswan/utils/backtrace.c:969
 382   certreq_payload_create_type                                   0.02     22     -      4     3     0   src/libcharon/encoding/payloads/certreq_payload.c:296
 383   fragment_payload_create_from_data                             0.02     15     -      4     3     0   src/libcharon/encoding/payloads/fragment_payload.c:214
 384   vici_attribute_create                                         0.02     12     -      4     3     0   src/libcharon/plugins/vici/vici_attribute.c:766
 385   resolve_handler_create                                        0.02     13     -      4     3     0   src/libcharon/plugins/resolve/resolve_handler.c:452
 386   vici_authority_create                                         0.02     14     -      4     3     0   src/libcharon/plugins/vici/vici_authority.c:905
 387   vici_query_create                                             0.02     28     -      4     3     0   src/libcharon/plugins/vici/vici_query.c:1957
 388   array_destroy_offset                                          0.02     27     -      9     2     0   src/libstrongswan/collections/array.c:569
 389   quick_mode_create                                             0.02     12     -      4     3     0   src/libcharon/sa/ikev1/tasks/quick_mode.c:1548
 390   openssl_ed_private_key_create                                 0.02     22     -      4     3     0   src/libstrongswan/plugins/openssl/openssl_ed_private_key.c:242
 391   extract_token_str                                             0.02     26     -      9     1     1   src/libstrongswan/utils/lexparser.c:84
 392   utils_init                                                    0.02     12     -      4     3     0   src/libstrongswan/utils/utils.c:298
 393   configuration_attribute_create_chunk                          0.02     13     -      3     3     0   src/libcharon/encoding/payloads/configuration_attribute.c:324
 394   encrypted_fragment_payload_create_from_data                   0.02     13     -      3     3     0   src/libcharon/encoding/payloads/encrypted_payload.c:1047
 395   openssl_bn_cat                                                0.02     24     -      8     1     1   src/libstrongswan/plugins/openssl/openssl_util.c:142
 396   openssl_xof_create                                            0.02     16     -      3     3     0   src/libstrongswan/plugins/openssl/openssl_xof.c:158
 397   encrypted_payload_create_from_plain                           0.02     19     -      3     3     0   src/libcharon/encoding/payloads/encrypted_payload.c:806
 398   asn1_simple_object                                            0.02     41     -      8     1     1   src/libstrongswan/asn1/asn1.c:810
 399   ike_header_create_version                                     0.02     13     -      3     3     0   src/libcharon/encoding/payloads/ike_header.c:506
 400   linked_list_create_with_items                                 0.02     16     -      3     3     0   src/libstrongswan/collections/linked_list.c:619
 401   linked_list_create_from_enumerator                            0.02     14     -      3     3     0   src/libstrongswan/collections/linked_list.c:600
 402   id_payload_create_from_identification                         0.02     12     -      3     3     0   src/libcharon/encoding/payloads/id_payload.c:384
 403   migrate_job_create                                            0.02      5     -      3     3     0   src/libcharon/processing/jobs/migrate_job.c:148
 404   iv_gen_seq_create                                             0.02     15     -      3     3     0   src/libstrongswan/crypto/iv/iv_gen_seq.c:117
 405   traffic_selector_cmp                                          0.02     30     -      8     0     2   src/libstrongswan/selectors/traffic_selector.c:674
 406   openssl_rsa_private_key_create                                0.02     14     -      3     3     0   src/libstrongswan/plugins/openssl/openssl_rsa_private_key.c:549
 407   transform_substructure_create_type                            0.02     15     -      3     3     0   src/libcharon/encoding/payloads/transform_substructure.c:305
 408   sa_payload_create                                             0.02     15     -      3     3     0   src/libcharon/encoding/payloads/sa_payload.c:498
 409   callback_job_create                                           0.02     11     -      3     3     0   src/libstrongswan/processing/jobs/callback_job.c:127
 410   vici_parse_value                                              0.02     11     -      3     3     0   src/libcharon/plugins/vici/libvici.c:518
 411   chunk_unmap                                                   0.02     22     -      8     2     0   src/libstrongswan/utils/chunk.c:461
 412   mode_config_create                                            0.02     12     -      3     3     0   src/libcharon/sa/ikev1/tasks/mode_config.c:664
 413   vici_connect                                                  0.02     11     -      3     3     0   src/libcharon/plugins/vici/libvici.c:268
 414   chunk_unmap_clear                                             0.02     22     -      8     2     0   src/libstrongswan/utils/chunk.c:469
 415   tls_aead_create_explicit                                      0.02      8     -      3     3     0   src/libtls/tls_aead_expl.c:203
 416   crl_is_newer                                                  0.02     31     -     13     0     1   src/libstrongswan/credentials/certificates/crl.c:37
 417   openssl_ec_private_key_create                                 0.02     14     -      3     3     0   src/libstrongswan/plugins/openssl/openssl_ec_private_key.c:318
 418   certreq_payload_create_dn                                     0.02     13     -      3     3     0   src/libcharon/encoding/payloads/certreq_payload.c:322
 419   array_get                                                     0.02     29     -     13     0     1   src/libstrongswan/collections/array.c:354
 420   notify_payload_create_from_protocol_and_type                  0.02     13     -      3     3     0   src/libcharon/encoding/payloads/notify_payload.c:781
 421   traffic_selector_substructure_create_from_traffic_selector    0.02     20     -      3     3     0   src/libcharon/encoding/payloads/traffic_selector_substructure.c:283
 422   tls_prf_create_10                                             0.02      8     -      3     3     0   src/libtls/tls_prf.c:186
 423   ke_payload_create_from_key_exchange                           0.02     17     -      3     3     0   src/libcharon/encoding/payloads/ke_payload.c:247
 424   cert_payload_create_from_hash_and_url                         0.02     15     -      3     3     0   src/libcharon/encoding/payloads/cert_payload.c:368
 425   traffic_selector_substructure_create_from_sec_label           0.02     12     -      3     3     0   src/libcharon/encoding/payloads/traffic_selector_substructure.c:307
 426   delete_payload_create                                         0.02     13     -      3     3     0   src/libcharon/encoding/payloads/delete_payload.c:354
 427   chunk_internet_checksum                                       0.02     27     -      8     1     1   src/libstrongswan/utils/chunk.c:1141
 428   proposal_substructure_create                                  0.02     17     -      3     3     0   src/libcharon/encoding/payloads/proposal_substructure.c:1231
 429   ike_rekey_create                                              0.02      9     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_rekey.c:839
 430   vici_socket_create                                            0.02     13     -      2     3     0   src/libcharon/plugins/vici/vici_socket.c:701
 431   tls_prf_create_12                                             0.02      8     -      2     3     0   src/libtls/tls_prf.c:104
 432   unknown_payload_create_data                                   0.02     12     -      2     3     0   src/libcharon/encoding/payloads/unknown_payload.c:208
 433   pki_cert_extract_cert                                         0.02     63     -     12     1     0   src/pki/pki_cert.c:438
 434   vendor_id_payload_create                                      0.02      7     -      2     3     0   src/libcharon/encoding/payloads/vendor_id_payload.c:192
 435   rr_set_create                                                 0.02     12     -      2     3     0   src/libstrongswan/resolver/rr_set.c:78
 436   parse_rsa_padding                                             0.02     12     -      7     2     0   src/pki/pki.c:244
 437   tls_aead_create_null                                          0.02      8     -      2     3     0   src/libtls/tls_aead_null.c:136
 438   ike_auth_lifetime_create                                      0.02     12     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_auth_lifetime.c:149
 439   tls_peer_create                                               0.02      5     -      2     3     0   src/libtls/tls_peer.c:1983
 440   tls_server_create                                             0.02      5     -      2     3     0   src/libtls/tls_server.c:1868
 441   iv_manager_create                                             0.02      9     -      2     3     0   src/libcharon/sa/ikev1/iv_manager.c:332
 442   ike_redirect_create                                           0.02     10     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_redirect.c:126
 443   isakmp_cert_pre_create                                        0.02     12     -      2     3     0   src/libcharon/sa/ikev1/tasks/isakmp_cert_pre.c:649
 444   isakmp_delete_create                                          0.02     12     -      2     3     0   src/libcharon/sa/ikev1/tasks/isakmp_delete.c:163
 445   ike_mobike_create                                             0.02     12     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_mobike.c:664
 446   ike_init_create                                               0.02     14     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_init.c:1515
 447   chunk_from_fd                                                 0.02     45     -     12     1     0   src/libstrongswan/utils/chunk.c:258
 448   ike_natd_create                                               0.02     12     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_natd.c:465
 449   ike_establish_create                                          0.02     12     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_establish.c:112
 450   ike_auth_create                                               0.02     10     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_auth.c:1705
 451   ike_dpd_create                                                0.02     12     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_dpd.c:56
 452   ike_config_create                                             0.02     12     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_config.c:510
 453   chunk_copy_pad                                                0.02     14     -      7     0     2   src/libstrongswan/utils/chunk.c:849
 454   ike_delete_create                                             0.02     12     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_delete.c:251
 455   isakmp_natd_create                                            0.02     12     -      2     3     0   src/libcharon/sa/ikev1/tasks/isakmp_natd.c:476
 456   ike_cert_pre_create                                           0.02     12     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_cert_pre.c:664
 457   ike_cert_post_create                                          0.02     12     -      2     3     0   src/libcharon/sa/ikev2/tasks/ike_cert_post.c:393
 458   isakmp_vendor_create                                          0.02     12     -      2     3     0   src/libcharon/sa/ikev1/tasks/isakmp_vendor.c:463
 459   notify_payload_create                                         0.02      8     -      2     3     0   src/libcharon/encoding/payloads/notify_payload.c:740
 460   chunk_internet_checksum_inc                                   0.02     25     -      7     1     1   src/libstrongswan/utils/chunk.c:1118
 461   nonce_nonceg_create                                           0.02     11     -      2     3     0   src/libstrongswan/plugins/nonce/nonce_nonceg.c:61
 462   informational_create                                          0.02     12     -      2     3     0   src/libcharon/sa/ikev1/tasks/informational.c:226
 463   isakmp_cert_post_create                                       0.02     12     -      2     3     0   src/libcharon/sa/ikev1/tasks/isakmp_cert_post.c:332
 464   quick_delete_create                                           0.02     12     -      2     3     0   src/libcharon/sa/ikev1/tasks/quick_delete.c:289
 465   xauth_create                                                  0.02     12     -      2     3     0   src/libcharon/sa/ikev1/tasks/xauth.c:549
 466   child_delete_create                                           0.02     14     -      2     3     0   src/libcharon/sa/ikev2/tasks/child_delete.c:721
 467   condvar_create                                                0.02     16     -      2     3     0   src/libstrongswan/threading/mutex.c:316
 468   rwlock_create                                                 0.02     12     -      2     3     0   src/libstrongswan/threading/rwlock.c:179
 469   mac_signer_create                                             0.02      4     -      2     3     0   src/libstrongswan/crypto/signers/mac_signer.c:120
 470   bus_create                                                    0.02     12     -      2     3     0   src/libcharon/bus/bus.c:1126
 471   vici_logger_create                                            0.02      8     -      2     3     0   src/libcharon/plugins/vici/vici_logger.c:164
 472   callback_job_create_with_prio                                 0.02      8     -      2     3     0   src/libstrongswan/processing/jobs/callback_job.c:95
 473   encrypted_payload_create                                      0.02     10     -      2     3     0   src/libcharon/encoding/payloads/encrypted_payload.c:762
 474   generator_create_no_dbg                                       0.02     11     -      2     3     0   src/libcharon/encoding/generator.c:612
 475   bio_reader_create_own                                         0.02     10     -      2     3     0   src/libstrongswan/bio/bio_reader.c:354
 476   eap_payload_create_data_own                                   0.02     10     -      2     3     0   src/libcharon/encoding/payloads/eap_payload.c:370
 477   openssl_sha1_prf_create                                       0.02      8     -      2     3     0   src/libstrongswan/plugins/openssl/openssl_sha1_prf.c:169
 478   cert_payload_create_custom                                    0.02     12     -      2     3     0   src/libcharon/encoding/payloads/cert_payload.c:383
 479   asn1_build_object                                             0.02     36     -      7     1     1   src/libstrongswan/asn1/asn1.c:781
 480   strerror_init                                                 0.02      8     -      2     3     0   src/libstrongswan/utils/utils/strerror.c:130
 481   packet_create                                                 0.02      7     -      2     3     0   src/libstrongswan/networking/packet.c:223
 482   eap_payload_create_data                                       0.02      9     -      2     3     0   src/libcharon/encoding/payloads/eap_payload.c:359
 483   configuration_attribute_create_value                          0.02     13     -      2     3     0   src/libcharon/encoding/payloads/configuration_attribute.c:341
 484   cp_payload_create                                             0.02      7     -      2     3     0   src/libcharon/encoding/payloads/cp_payload.c:329
 485   vici_cert_info_from_str                                       0.02     12     -      7     2     0   src/libcharon/plugins/vici/vici_cert_info.c:42
 486   callback_cred_create_shared                                   0.02      8     -      2     3     0   src/libstrongswan/credentials/sets/callback_cred.c:141
 487   adopt_children_job_create                                     0.02      5     -      1     3     0   src/libcharon/processing/jobs/adopt_children_job.c:280
 488   backend_manager_create                                        0.02      4     -      1     3     0   src/libcharon/config/backend_manager.c:537
 489   auth_cfg_wrapper_create                                       0.02      5     -      1     3     0   src/libstrongswan/credentials/sets/auth_cfg_wrapper.c:209
 490   enumerator_create_nested                                      0.02      5     -      1     3     0   src/libstrongswan/collections/enumerator.c:635
 491   enumerator_create_filter                                      0.02      4     -      1     3     0   src/libstrongswan/collections/enumerator.c:692
 492   vici_message_create_from_data                                 0.02      4     -      1     3     0   src/libcharon/plugins/vici/vici_message.c:667
 493   vici_builder_create                                           0.02      5     -      1     3     0   src/libcharon/plugins/vici/vici_builder.c:262
 494   enumerator_create_empty                                       0.02      4     -      1     3     0   src/libstrongswan/collections/enumerator.c:65
 495   enumerator_create_cleaner                                     0.02      4     -      1     3     0   src/libstrongswan/collections/enumerator.c:744
 496   pkcs7_attributes_create                                       0.02      5     -      1     3     0   src/libstrongswan/plugins/pkcs7/pkcs7_attributes.c:201
 497   counters_listener_create                                      0.02      7     -      1     3     0   src/libcharon/plugins/counters/counters_listener.c:431
 498   enumerator_create_token                                       0.02      6     -      1     3     0   src/libstrongswan/collections/enumerator.c:558
 499   ocsp_response_wrapper_create                                  0.02      4     -      1     3     0   src/libstrongswan/credentials/sets/ocsp_response_wrapper.c:131
 500   trap_manager_create                                           0.02      6     -      1     3     0   src/libcharon/sa/trap_manager.c:779
 501   cp_payload_create_type                                        0.02      5     -      1     3     0   src/libcharon/encoding/payloads/cp_payload.c:294
 502   constraints_validator_create                                  0.02      5     -      1     3     0   src/libstrongswan/plugins/constraints/constraints_validator.c:1022
 503   eap_payload_create                                            0.02      5     -      1     3     0   src/libcharon/encoding/payloads/eap_payload.c:325
 504   bio_reader_create                                             0.02      5     -      1     3     0   src/libstrongswan/bio/bio_reader.c:319
 505   certificate_printer_create                                    0.02      4     -      1     3     0   src/libstrongswan/credentials/certificates/certificate_printer.c:773
 506   configuration_attribute_create                                0.02      5     -      1     3     0   src/libcharon/encoding/payloads/configuration_attribute.c:295
 507   ocsp_single_response_create                                   0.02      5     -      1     3     0   src/libstrongswan/credentials/certificates/ocsp_single_response.c:59
 508   redirect_manager_create                                       0.02      4     -      1     3     0   src/libcharon/sa/redirect_manager.c:176
 509   certreq_payload_create                                        0.02      5     -      1     3     0   src/libcharon/encoding/payloads/certreq_payload.c:264
 510   array_invoke_offset                                           0.02     19     -      6     2     0   src/libstrongswan/collections/array.c:532
 511   linked_list_create                                            0.02      5     -      1     3     0   src/libstrongswan/collections/linked_list.c:564
 512   sys_logger_create                                             0.02      7     -      1     3     0   src/libcharon/bus/listeners/sys_logger.c:186
 513   packet_create_from_data                                       0.02      5     -      1     3     0   src/libstrongswan/networking/packet.c:191
 514   revocation_validator_create                                   0.02      6     -      1     3     0   src/libstrongswan/plugins/revocation/revocation_validator.c:1026
 515   cert_payload_create                                           0.02      5     -      1     3     0   src/libcharon/encoding/payloads/cert_payload.c:298
 516   keymat_v2_create                                              0.02      5     -      1     3     0   src/libcharon/sa/ikev2/keymat_v2.c:825
 517   parser_create                                                 0.02      5     -      1     3     0   src/libcharon/encoding/parser.c:645
 518   asn1_parser_create                                            0.02      5     -      1     3     0   src/libstrongswan/asn1/asn1_parser.c:323
 519   auth_payload_create                                           0.02      5     -      1     3     0   src/libcharon/encoding/payloads/auth_payload.c:195
 520   encryption_algorithm_from_oid                                 0.02     48     -     11     1     0   src/libstrongswan/crypto/crypters/crypter.c:64
 521   metadata_set_create                                           0.02      5     -      1     3     0   src/libstrongswan/metadata/metadata_set.c:69
 522   child_sa_manager_create                                       0.02      4     -      1     3     0   src/libcharon/sa/child_sa_manager.c:312
 523   capabilities_create                                           0.02      5     -      1     3     0   src/libstrongswan/utils/capabilities.c:498
